report_id,report_text
RPT-001,"INVESTIGATION REPORT

Claim Reference: Confidential
Date of Loss: [Redacted]

FINDINGS
Investigation of the loss site revealed significant heat damage originating at the electrical distribution panel in the utility room. Arc marks consistent with an electrical fault were observed on two breakers. The adjacent wiring showed heat deformation extending outward from the panel.

PROBABLE CAUSE
Based on physical evidence, the fire originated from an electrical fault at the main distribution panel. Arc damage and heat patterns are consistent with a short circuit or overloaded circuit condition.

CONCLUSION
The cause of the fire is confirmed as an electrical fault at the distribution panel. No evidence of accelerants or other ignition sources was identified."
RPT-002,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
The vehicle sustained fire damage beginning at the engine compartment. Witnesses reported seeing smoke from under the hood approximately 10 minutes before the fire became visible. The fuel system showed no leaks. An oil-soaked rag was found near the air filter housing.

PROBABLE CAUSE
The most probable cause of the fire is an unattended ignition source in the engine compartment, possibly the oil-soaked material near a heat source. However, this cannot be confirmed due to the extent of fire damage to the engine components.

CONCLUSION
Cause is probable but not confirmed. Further analysis of engine components was not possible due to fire damage."
RPT-003,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Water intrusion was identified across the second floor of the structure. Moisture mapping indicated the point of entry to be the roof assembly above the master bedroom. Roof membrane showed cracking consistent with age-related deterioration. No storm event occurred in the 72 hours preceding discovery.

PROBABLE CAUSE
Roof membrane failure due to age and deferred maintenance.

CONCLUSION
The cause of water damage is confirmed as roof membrane failure. No weather event contributed to this loss."
RPT-004,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Vehicle was recovered from a ditch off a rural highway. Front-end damage consistent with collision. Airbags deployed. No other vehicle was involved. Tire tread depth was within acceptable limits. Road surface was dry.

PROBABLE CAUSE
Driver error is the probable cause. However, no witness statements were obtained and driver declined to provide a statement.

CONCLUSION
Cause is probable. Driver error (loss of vehicle control) is the most likely explanation but cannot be confirmed without additional evidence."
RPT-005,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Claimant reported discovering mold growth behind drywall in the basement after conducting minor renovations. A moisture survey identified an active slow leak from the water heater supply line. The leak appeared to have been present for several months based on staining patterns and mold growth extent.

PROBABLE CAUSE
Slow leak from the water heater supply line connection.

CONCLUSION
The cause of mold damage is confirmed as a long-term water intrusion from a defective water heater supply line fitting."
RPT-006,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Extensive review of the scene was conducted following a reported slip and fall at the insured commercial premises. The floor surface at the incident location showed no visible moisture or contaminant at the time of inspection (conducted 48 hours after the incident). No CCTV footage was available. A single witness reported seeing a wet spot in the area earlier that day but could not confirm it was present at the time of the incident.

PROBABLE CAUSE
Cannot be determined with available evidence.

CONCLUSION
Cause of the slip and fall cannot be determined. The presence or absence of a hazardous floor condition at the time of the incident is not supported by sufficient evidence."
RPT-007,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Kitchen fire with point of origin at the stovetop. Pots and pans were found on active burners. Neighbour confirmed the claimant had left the property approximately two hours before the fire was discovered. No evidence of accelerants.

PROBABLE CAUSE
Unattended cooking.

CONCLUSION
The cause of the fire is confirmed as an unattended cooking appliance. The claimant left the property while burners were active."
RPT-008,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Review of medical records indicates the patient was prescribed medication A but received medication B during a three-day inpatient stay. The dispensing error was identified on day four when the patient reported symptoms inconsistent with the expected treatment response. Pharmacy records confirm the dispensing discrepancy.

PROBABLE CAUSE
Pharmacy dispensing error.

CONCLUSION
The cause of the adverse medical event is confirmed as a medication dispensing error. Records are consistent and the chain of custody for the dispensing error is documented."
RPT-009,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Structural inspection following reported water damage identified deteriorating caulking around the exterior window frames on the south and west elevations. Moisture mapping confirmed water entry through the window surround. The building is 22 years old and maintenance records provided show no window caulking has been replaced in that period.

PROBABLE CAUSE
Deferred maintenance of window seals.

CONCLUSION
The probable cause of water intrusion is failure of aged window caulking. No acute weather event was required to initiate this loss; normal rainfall was sufficient given the deteriorated state of the seals."
RPT-010,"INVESTIGATION REPORT

Claim Reference: Confidential

FINDINGS
Vehicle fire occurred in a parking lot. Point of origin was in the rear cargo area. No mechanical or electrical fault was identified in the engine or fuel systems. An accelerant odor was noted by the first attending fire crew, but the odour had dissipated by the time the investigator arrived 90 minutes later. No accelerant residue was detected in laboratory analysis of debris samples.

PROBABLE CAUSE
Unable to determine. Incendiary origin cannot be confirmed or excluded.

CONCLUSION
Cause is not determinable. Physical evidence is insufficient to establish whether the fire was accidental or incendiary."
